Date;consumption
2021-07-08;7582.1237139999985
2021-07-09;7152.719714999998
2021-07-10;4780.269639
2021-07-18;4419.437426000003
2021-07-20;6963.064219
2021-07-21;6938.201112000001
2021-07-24;3108.758118000001
2021-07-25;4747.784612
2021-07-25;4667.156204999999
2021-07-28;4016.003383000003
2021-07-29;3850.894708
2021-07-31;3240.3954
2021-08-03;4088.650537000001
2021-08-08;3158.363406
2021-08-15;2820.9274810000006
2021-08-23;4307.024860000002
2021-08-24;4379.516823999998
2021-08-28;3638.678762999998
2021-08-31;6299.132471000003
2021-09-12;4997.463818000004
2021-09-14;7020.817522
2021-09-20;7189.933950999998
2021-10-02;5301.372109999999
2021-10-09;6592.0589430000055
2021-10-10;8453.008530999992
2021-10-11;11682.306154000004
2021-10-23;10410.655817000006
2021-10-26;10801.195417000003
2021-10-29;10599.647799000008
2021-11-01;9832.994636000003
2021-11-06;12053.355700999999
2021-11-10;16129.587205999987
2021-11-13;13437.870582999987
2021-11-17;14242.99405
2021-11-20;12964.689017000006
2021-11-22;14410.582263000015
2021-11-29;16492.613131999995
2021-12-02;15527.720062999995
2021-12-06;15862.984885000002
2021-12-20;15122.288467000008
2021-12-23;16477.059385999994
2021-12-27;9720.449565000003
2021-12-28;9013.314759
2022-01-01;7587.302407999996
2022-01-03;9435.127570999997
2022-01-06;14963.393679000006
2022-01-09;14097.842798000012
2022-01-11;16394.670742000002
2022-01-15;15845.220363999992
2022-01-19;16334.27623200001
2022-01-20;15775.711532000001
2022-01-30;13445.941368999998
2022-01-31;14873.749462999996
2022-02-02;13902.987836000002
2022-02-05;12461.854140000003
2022-02-07;14187.127435000002
2022-02-12;13727.572617999993
2022-02-13;11520.695761999992
2022-02-17;11532.583586
2022-02-19;9622.549946000005
2022-02-22;14413.640317000007
2022-02-25;13503.688395000005
2022-03-01;16006.460245000004
2022-03-09;16108.45146
2022-03-11;13434.295411000003
2019-01-03;15181.599263999999
2022-04-03;6057.408244
2019-01-04;15060.293257
2022-04-04;6277.444619000001
2019-01-07;16091.463727
2022-04-07;5683.2247590000015
2019-01-09;16346.163775
2022-04-11;5780.264673999999
2019-01-15;15956.533538
2022-04-20;5025.787982999999
2022-04-21;5138.994340000001
2019-01-19;16765.350712
2019-01-23;17707.780002
2022-04-28;4862.829346999999
2019-01-24;18216.803567000006
2022-04-30;3786.8507710000003
2019-01-27;13376.764461
2019-01-29;17140.722236999998
2022-05-03;4914.55967
2022-05-05;5011.602516000002
2019-01-31;17325.932206
2022-05-14;4852.601879999998
2022-05-19;4968.461961
2019-02-14;17139.523486000002
2019-02-16;13533.414371
2022-05-23;5033.224094000001
2019-02-21;15243.853749000002
2022-05-28;2456.024831999999
2022-05-29;4811.689566999999
2019-03-01;12066.407861
2022-08-06;2586.5818289999997
2022-08-14;3061.156487
2019-03-14;11534.596735
2019-03-18;13107.862046
2022-08-18;5048.814767999998
2022-08-24;5640.337024999998
2019-03-23;9650.192757
2019-03-25;11528.050721
2022-08-31;5817.607532
2019-04-02;10431.977813
2019-04-04;13104.639568999999
2022-09-12;6615.9339610000025
2019-04-07;9226.989612000001
2019-04-16;12115.628623
2022-09-22;8765.229436999993
2019-04-19;6763.030040000001
2019-04-27;6583.691916
2022-10-06;8894.292880000005
2022-10-09;8146.331769999999
2019-05-06;12247.913442000001
2022-10-11;9047.730864999998
2019-05-14;10799.818000000001
2022-10-25;8808.970649000003
2022-10-26;7799.787137
2022-10-27;8926.816943999995
2019-05-29;7741.7138319999995
2022-11-02;9293.592268999993
2019-06-08;3883.242889
2022-11-12;9841.906335000009
2019-06-12;7165.612963
2022-11-13;10170.847004
2019-06-15;3753.5497259999997
2019-06-16;4629.9746730000015
2022-11-16;9989.493083999998
2022-11-17;9075.779834000003
2019-06-17;5582.531159
2022-11-20;10252.329380000001
2019-06-20;6090.524990999999
2022-11-22;11675.175760000013
2019-06-25;6766.9822349999995
2022-11-26;10428.622972000001
2022-11-27;9928.06776399999
2022-12-02;13325.533904000002
2022-12-03;12494.388927999993
2022-12-06;14879.953276999988
2022-12-09;15733.82391199999
2019-07-12;6925.930839
2019-07-13;5623.989001
2022-12-18;15751.382434000001
2019-07-18;7146.11945
2022-12-22;10908.942948999998
2019-07-23;6809.546883
2022-12-26;7123.247452000003
2022-12-27;8440.095575000001
2019-07-27;6018.82399
2019-08-04;3552.3256290000004
2019-08-07;4603.597613
2023-01-13;9141.627888000006
2023-01-17;13900.998691000024
2019-08-15;3651.005817
2019-08-16;3965.8926880000004
2023-01-22;13918.917131999997
2019-08-17;3753.4491310000003
2019-08-18;4244.678099999999
2023-01-24;15522.521031999991
2019-08-20;6726.9777540000005
2023-01-25;15091.980104000002
2023-01-28;14065.502666000006
2023-01-31;14705.419160000009
2019-08-27;6685.085697
2019-09-01;5740.984615
2019-09-02;6886.997417000001
2019-09-03;7453.150605
2019-09-08;7154.3238599999995
2019-09-16;7453.476729999999
2019-10-01;8500.476920000001
2019-10-07;10035.813945
2019-10-14;8473.806301
2019-10-24;8570.779467
2019-10-27;9188.576703
2019-10-31;12841.056891
2019-11-09;12972.496276
2019-11-10;13058.168246
2019-11-12;15025.937004
2019-11-14;15684.444467
2019-11-19;15802.981281
2019-11-22;15321.696917
2019-11-23;13131.040391
2019-11-27;12815.521318000001
2019-11-29;13256.304225
2019-12-02;16521.639341
2019-12-05;18002.958857999998
2019-12-09;14526.880290000001
2019-12-11;16191.651751
2019-12-18;13593.622675999999
2019-12-30;14513.057802000001
2020-01-08;15812.803029
2020-01-11;12444.512804
2020-01-15;14274.791930000001
2020-01-16;14416.368483000002
2020-01-17;14660.774317
2020-01-21;17508.596809
2020-01-24;17472.408019000002
2020-01-25;15683.744882
2020-02-07;16763.756719
2020-02-09;9903.677778
2020-02-11;13154.495215
2020-02-12;14617.169135
2020-02-13;15645.453356
2020-02-14;14793.245506000001
2020-02-20;14019.580692
2020-02-29;9897.281743
2020-03-06;15155.314575
2020-03-07;13612.335147999998
2020-03-11;12726.738674
2020-03-16;12983.696021
2020-03-20;7935.363759999999
2020-03-21;7826.694686
2020-03-28;8613.85747
2020-04-05;7228.137965999999
2020-04-12;3642.42512
2020-04-15;7310.122953999998
2020-04-28;4639.693443
2020-04-30;5477.331174
2020-05-08;5031.7212199999985
2020-05-10;3901.530622
2020-05-26;5488.129046999999
2020-05-27;6762.674838000001
2020-05-29;5867.408976
2020-06-03;6245.939665
2020-06-14;5897.163382000002
2020-06-19;6716.458068999999
2020-06-24;5894.609570000001
2020-06-25;5666.76136
2020-06-29;5177.746983
2020-07-09;4574.3451939999995
2020-07-10;4431.370605
2020-07-12;3546.489892
2020-07-14;3879.4065520000004
2020-07-24;4026.325052
2020-08-03;3858.89082
2020-08-12;4016.3078920000003
2020-08-14;4153.100572
2020-08-17;4341.293667999998
2020-08-22;4146.639068
2020-08-25;4996.405251
2020-08-30;3814.3339899999996
